text,slant,nonpartisan,slight-partisan,hyperpartisan
Graham: 'We Ought to Sanction the Hell Out of China',2,0,0,1
"Purdue Pharma, The Maker Of OxyContin, Is Reportedly Pleading Guilty To 3 Federal Charges As Part Of $8 Billion Settlement",2,0,0,1
Trump Considers Urging Acting AG To Appoint Special Counsel For Hunter Biden,2,0,0,1
Walmart removes firearms from sales floor in some stores as protests continue across U.S.,0,1,0,0
Trump’s Wildest Coronavirus Claim Yet Gets Instant Fact-Check On Twitter,2,0,0,1
"VIRUS TODAY: Vaccine gains momentum, NFL season in chaos",1,0,1,0
"Managing the outbreak: Hundreds of infected, quarantined in prisons and jails challenging officials",1,0,1,0
Here’s what Americans don’t know about military families as our endless wars go on,2,0,0,1
Nolte: Brutal Flashback Video Revives Biden's Blatant Lies and Plagiarism,2,0,0,1
Democrats use Trump's 'It is what it is' to make their case,1,0,1,0
"Dow futures fall 200 points, with Wall Street set to give back some of May's strong gains",0,1,0,0
China says CO2 border tax will damage global climate change fight,0,1,0,0
U.S. Admits That Congressman Offered Pardon to Assange If He Covered Up Russia Links,2,0,0,1
Peak coronavirus? Epidemic forecasts are often wrong but can be useful,0,1,0,0
"As outbreaks flatten in places, Japan, India see more cases",1,0,1,0
5 things to know before the stock market opens Friday,0,1,0,0
Birx warns about a 'very different' coronavirus spread,1,0,1,0
Trump allies put unproven virus drug to work in Texas,1,0,1,0
U.S. Army Corps to build hundreds of temporary hospitals for coronavirus crisis,0,1,0,0
"After Trump comments, top Army general defends military's leaders",0,1,0,0
Coronavirus Rebate Payments Could Be A Welfare Breakthrough,2,0,0,1
Trump Suggests Easing Travel Restrictions At Canada-U.S. Border,2,0,0,1
"Trump Administration Carves Out $10 Billion For PPP Loans To Businesses In ‘Rural, Minority And Other Underserved Communities’",2,0,0,1
"South, Central American nations tighten borders to combat coronavirus",0,1,0,0
FDA warns against malaria drugs Trump touted for COVID-19,0,1,0,0
Indiana's 1.5M-plus early votes expected to delay results,1,0,1,0
Jorge Ramos: America ‘Looks a Lot More Like’ Kamala than Trump,2,0,0,1
What you need to know today about the virus outbreak,1,0,1,0
"Trump doubles down on mail-in voting concerns, warns of 'greatest election disaster in history'",1,0,1,0
"Paint Splashed On De Blasio’s BLM Mural. With Shootings Soaring, He Makes Sure It’s Fixed ASAP.",2,0,0,1
"Blowout: The U.S. Economy Added 4.8 Million Jobs in June, Unemployment Fell to 11.1%",2,0,0,1
"This is the biggest stock picker's market in a decade, ETF analyst says. Here are two ways to play it",0,1,0,0
U.S. lawmakers nearing deal for $32 billion aviation sector bailout,0,1,0,0
Former Indiana football player and an 18-year-old killed amid Indianapolis violence,1,0,1,0
"Dow crests 30,000 points on vaccine hopes, Biden transition",1,0,1,0
"Canada-U.S. Border To Shut Down To Non-Essential Travel, Trump Confirms",2,0,0,1
"Rep. Tulsi Gabbard sues Hillary Clinton for alleged 'Russian asset' smear in 2020 Democratic presidential contest, claiming $50 million in damages",0,1,0,0
"Tokyo gov seeks 2nd term, says Japan unprepared for pandemic",1,0,1,0
Fact check: Rhode Island may remove 'Providence Plantations' from name,1,0,1,0
Rasmussen: Liberals Favor Migration over Environmental Protection,2,0,0,1
Nina Turner: Bernie Sanders Will Continue Tradition of Socialist Eugene V. Debs,2,0,0,1
Drunk Fox News Host Jeanine Pirro Chugs Bleach on SNL,2,0,0,1
Foreign policy experts struggle to explain Trump’s devotion to Vladimir Putin,2,0,0,1
Peru reaches 1 million confirmed coronavirus infections,1,0,1,0
Virus whistleblower alleges retribution has only intensified,1,0,1,0
Pence ordered the closure of US borders against CDC's wishes: report,0,1,0,0
HHS: Federal stocks of protective equipment nearly depleted,1,0,1,0
How Trump purged non-loyalists from federal government institutions and reshaped them in his own crude image,2,0,0,1
Murkowski 'struggling' over whether to back Trump in election,0,1,0,0
"Bidding for Pennsylvania, Trump trolls Biden in old backyard",1,0,1,0
Officials Bump Wuhan Death Toll Up By 50%,2,0,0,1
EXCLUSIVE: Trump Says Some Governors Made ‘Tragic Mistakes’ With Nursing Home Coronavirus Policies,2,0,0,1
Democrats Gear Up For High-Stakes Debate In Iowa,2,0,0,1
Chinese Billionaire’s Network Hyped Hunter Biden Dirt Weeks Before Rudy,2,0,0,1
"Boy Scouts, Girl Scouts Barred From Placing Flags At Veterans’ Cemeteries On Memorial Day",2,0,0,1
"Biden, Buttigieg and Bloomberg take shots at projected Nevada caucus winner Bernie Sanders",0,1,0,0
Twitter Users Pile On Steve Bannon After Wire Fraud Indictment,2,0,0,1
Judge mulls ordering online initiative signature gathering,1,0,1,0
Ohio governor sees growing criticism from fellow Republicans,1,0,1,0
"Poll: A week before the caucuses, Joe Biden leads an Iowa race that remains unsettled",1,0,1,0
Biden expected to announce U.S. presidential running mate this week: source,1,0,1,0
"Ohio to vote, largely by mail, in primary delayed by COVID-19",0,1,0,0
Washington Post Whips Up Fear over 'Trump Bullying Phenomenon' in Schools,2,0,0,1
New coronavirus test is imperfect step toward mass screening,1,0,1,0
Ex-FDA chief worries China could be underestimating coronavirus cases by 'tens of thousands',0,1,0,0
Are children immune to COVID-19?,1,0,1,0
America’s Alt-Right Is Fueling Europe’s Anti-Mask Protests,2,0,0,1
Is the Trump administration bluffing about a vaccine timeline? Scientists are skeptical,2,0,0,1
First lady announces youth art project on women's suffrage,1,0,1,0
Breakingviews - Vaccine is inexact bonus for freight and freezers,0,1,0,0
"White House council to reopen America to include Ivanka Trump, Jared Kushner",1,0,1,0
Lebanese general was in Syria over missing American reporter,1,0,1,0
ByteDance is reportedly in talks with India's Reliance about a TikTok investment,0,1,0,0
"Pelosi, McConnell To Get Coronavirus Vaccine And Urge Members To Do Same",2,0,0,1
"A moderate's promise: If Bernie Sanders is the nominee, I will support him",1,0,1,0
Taylor Swift Hopes Her New Music Can 'Stoke Fires Politically' Against 'Sinister' Republican Policies,2,0,0,1
WRAPUP 9-China heads into Lunar New Year on shutdown as virus toll hits 26,0,1,0,0
Fact check: Kamala Harris does not want to institute Sharia law,1,0,1,0
"A dream home, a vintage school bus and quirky roller skates: Here's what couples are buying with their pandemic wedding funds",1,0,1,0
"Hungary's Orban convinced Trump will win U.S. election, has no plan B",0,1,0,0
Hope Reborn: Stocks Skyrocket as President Presents 'All of America' Program to Fight Coronavirus,2,0,0,1
Vape-Related Deaths Rise To 64 As Experts Worry That Danger Remains,2,0,0,1
