text,sentiment,negative,neutral,positive
Winner wrote that she had a 30-minute private meeting with the Republican lawmaker’s state policy director.,1,0,1,0
She also recently referred to President Trump as a “piece of shit” because of his position on the Dakota Access Pipeline (DAPL) protests.,0,1,0,0
"Hillary Clinton blamed the Democratic National Committee, Facebook, and conspiracy site Infowars Wednesday for her election defeat during an interview in which she pointed at a total of 18 alleged guilty parties for her big loss.",0,1,0,0
"Hillary Clinton takes ""responsibility"" for loss, but says others contributed",0,1,0,0
"Clinton also looked to social media, saying sites like Facebook and Twitter have been ""victimized by deliberate efforts to shape the conversation and push it towards conspiracies, lies, false information.""",1,0,1,0
"Trump's unhinged Twitter attacks, frequent off-the-cuff remarks, slurring and very peculiar drinking habits have led to some psychiatrists, mental-health experts and administration critics to call the president's mental stability into question, as the Salon video below notes.",0,1,0,0
"Hillary Clinton continues to face fire for alleged pay-for-play schemes involving her work while secretary at the State Department and simultaneous affiliation with the Clinton Foundation, and for the curious Uranium One dealings with Russia she helped shape while serving under Barack Obama.",0,1,0,0
Trump accepted Dubke’s offer to stay while on his first overseas trip as president this month.,1,0,1,0
"“The reasons for my departure are personal, but it has been my great honor to serve President Trump and this administration,” Dubke, 47, wrote in an email to friends, according to Politico.",2,0,0,1
"President Donald Trump hurled more jabs at the ""fake news media"" Sunday morning, describing White House ""leaks"" as ""fabricated lies"" and saying stories with ""sources say"" make it ""very possible"" those ""sources don't exist"" and are made up by ""fake news writers.""",0,1,0,0
"It was a familiar morning for Mr. Trump on his favored medium — and for a nation that had, for a little more than a week, gone without the president’s stream-of-consciousness missives.",0,1,0,0
But he seemed on Sunday to be as aggrieved as ever by what he considers unfair news coverage.,1,0,1,0
"“The leaders did want to know what his time frame was, and [Mr. Trump] said, look, ‘This is something where I want to get to the right decision.",1,0,1,0
"(Reuters/Mike Segar) Kushner “has been incredibly successful, in both business and now politics.",2,0,0,1
"Aside from government innovation, Kushner has acted as a sort of “shadow secretary of state” in the Trump administration, a source told Politico in February.",0,1,0,0
“Mr. Kushner and we have been responsive to all requests.,2,0,0,1
"Kushner married Ivanka Trump, the president’s eldest daughter, in October 2009 at the Trump National Golf Club in Bedminster, N.J. Jared Kushner and Ivanka Trump, the president's daughter, married in 2009.",1,0,1,0
Harleen Kahlon was an experienced digital media maven when she was hired by Kushner in 2010 to boost the paper’s digital outreach.,2,0,0,1
"“He would compensate his lack of knowledge by saying stuff like, ‘Let’s just blow up the whole concept of digital.’",0,1,0,0
"During the campaign, Mr. Gianforte embraced Mr. Trump, who won the state by more than 20 percentage points in the November election.",1,0,1,0
"His campaign tried to characterize Jacobs as the aggressor, and labeled him a “liberal journalist.”",0,1,0,0
"He said he was approached by Jacobs, who asked questions about the Obamacare reform bill.",1,0,1,0
"Gianforte said he first told Jacobs he’d talk to him later, and then told Jacobs to speak with his spokesman.",1,0,1,0
Jacobs: “You just body-slammed me and broke my glasses.”,1,0,1,0
"Word is, Gianforte grabbed the guy, Ben Jacobs of the Guardian, with both hands by the neck and body slammed him to the ground, where he proceeded to jump atop him and pound him with fists.",1,0,1,0
These mixed messages are one reason a recent poll fell from 80 percent of Israelis who believed Trump was pro-Israel to 56 percent now.,1,0,1,0
Yet Evans believes Trump will keep his promise.,2,0,0,1
Navigating the tricky world of Middle East diplomacy is tough for even the most seasoned diplomats — and Trump is very emphatically not a seasoned diplomat.,0,1,0,0
"During the presidential campaign, Trump repeatedly criticized Hillary Clinton for her ties to Saudi Arabia, noting that the Clinton Foundation had received hefty sums from Saudi donors and encouraging Clinton to return the money.",0,1,0,0
"The next day, Trump will meet with leaders of the Gulf Cooperation Council, McMaster said.",1,0,1,0
